Category,Budget
Groceries,500
Entertainment,200
Rent,1200
Utilities,300
Transportation,150
Freelance,0
Salary,0
Dining,100
Health,100
Education,200
Travel,300
Gifts,100
Insurance,150
Subscriptions,50
Electronics,200
Pet,50
Home Improvement,150
Books,75
Clothing,100
Personal Care,50
Maintenance,100
Car,150
Fitness,100
Kids,200
Mortgage,1000
Entertainment,150
Office Supplies,50
Sports,100
Hobbies,100
Social,80
Technology,300
Utilities,250
Meals,150
Music,50
Movies,75
Transportation,120
Family,300
Coffee,50
Subscriptions,30
Electronics,250
Games,100
Office,50
Workshops,100
Parties,60
Grooming,40
Education,150
Healthcare,80
Gifts,70
Charity,40
Legal,200
Subscriptions,60
Streaming,100
Cars,150
Outdoors,120
Holidays,200
