Type,Amount,Category,Date
Income,1500,Salary,2024-10-01
Expense,200,Groceries,2024-10-02
Expense,50,Entertainment,2024-10-02
Income,1200,Freelance,2024-10-03
Expense,100,Rent,2024-10-03
Expense,60,Utilities,2024-10-04
Income,800,Salary,2024-10-05
Expense,120,Groceries,2024-10-06
Expense,75,Entertainment,2024-10-06
Income,600,Freelance,2024-10-07
Expense,50,Transportation,2024-10-08
Expense,90,Rent,2024-10-08
Expense,150,Utilities,2024-10-09
Income,1000,Salary,2024-10-10
Expense,110,Groceries,2024-10-11
Expense,80,Entertainment,2024-10-12
Income,200,Freelance,2024-10-13
Expense,60,Transportation,2024-10-14
Expense,150,Utilities,2024-10-15
Income,1300,Salary,2024-10-16
Expense,200,Groceries,2024-10-17
Expense,90,Entertainment,2024-10-18
Income,700,Freelance,2024-10-19
Expense,120,Groceries,2024-10-20
Expense,100,Transportation,2024-10-21
Income,1500,Salary,2024-10-22
Expense,200,Groceries,2024-10-23
Expense,60,Entertainment,2024-10-24
Income,1100,Freelance,2024-10-25
Expense,75,Rent,2024-10-26
Expense,50,Utilities,2024-10-27
Income,1800,Salary,2024-10-28
Expense,100,Groceries,2024-10-29
Expense,120,Transportation,2024-10-30
Income,1600,Freelance,2024-10-31
Expense,90,Entertainment,2024-11-01
Income,2500,Salary,2024-11-02
Expense,50,Groceries,2024-11-03
Expense,75,Utilities,2024-11-04
Income,1200,Freelance,2024-11-05
Expense,100,Transportation,2024-11-06
Expense,150,Groceries,2024-11-07
Income,1000,Salary,2024-11-08
Expense,90,Entertainment,2024-11-09
Income,1500,Freelance,2024-11-10
Expense,200,Utilities,2024-11-11
Expense,60,Groceries,2024-11-12
Income,2000,Salary,2024-11-13
Expense,100,Transportation,2024-11-14
Expense,80,Entertainment,2024-11-15
Income,1300,Freelance,2024-11-16
Expense,120,Rent,2024-11-17
Expense,200,Groceries,2024-11-18
Income,1600,Salary,2024-11-19
Expense,50,Entertainment,2024-11-20
Income,1800,Freelance,2024-11-21
Expense,100,Groceries,2024-11-22
